"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN",-0.371401175893917,-0.011955156191932,-3.20746903654003,0.00773176862865821,0.0408998318375424,-2.66596464661796
"GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN",-0.372537184723839,0.00748976399384148,-3.79193085234262,0.00267034847833454,0.0213627878266763,-1.62352833007428
"GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP",-0.381132282695821,-0.0326383216786819,-3.73633499155744,0.00295126699573092,0.0226434217373245,-1.72207898929027
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP",-0.383071071120067,-0.0140366689026677,-3.61795664710918,0.00365508058107118,0.0257334575014144,-1.93253855266108
"GSE3203_WT_VS_IFNAR1_KO_INFLUENZA_INFECTED_LN_BCELL_DN",-0.389510739046465,0.0290176423130404,-4.16796692697672,0.0013686732293651,0.0148218365156327,-0.963449837585246
"GSE10325_BCELL_VS_LUPUS_BCELL_UP",-0.400136156565305,0.00945705643769452,-3.41417024234488,0.00529535797508922,0.0321290794675122,-2.29627788497246
"GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN",-0.400228569905527,0.0385903417833159,-3.37076290659881,0.00573244019969706,0.0333275043590979,-2.37389705992376
"GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN",-0.406871995327691,-0.0372611220832282,-3.46968381356359,0.0047853729709117,0.0302783598886777,-2.19706250779014
"GSE45365_NK_CELL_VS_CD11B_DC_UP",-0.418453517463075,-0.0200695123883188,-4.29355363921008,0.00109871912332438,0.0129611611836232,-0.746055387009265
"GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP",-0.426398153278293,0.0275228002878268,-3.11173598586807,0.00921843635812179,0.0463012597286282,-2.83702174069679
"GSE31622_WT_VS_KLF3_KO_BCELL_UP",-0.432155561076945,0.0307109672630758,-3.88133138128275,0.00227498995983985,0.0196247804401342,-1.46551034981132
"GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP",-0.434615657099068,0.0634094070660831,-3.68893941573065,0.00321467154802731,0.0238127245635535,-1.80624735844475
"GSE40493_BCL6_KO_VS_WT_TREG_DN",-0.439574629389083,-0.00219940057393025,-3.15943332804243,0.0084447961094493,0.0433405726781654,-2.75182657105467
"GSE10325_MYELOID_VS_LUPUS_MYELOID_UP",-0.450825064815246,-0.0281417104851522,-3.994651604144,0.00185897372343956,0.0178637474962476,-1.26612590292783
"GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP",-0.453142695040768,-0.0180329990156024,-4.05623089367711,0.00166671326938743,0.0167427361823826,-1.15825252096292
"GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_UP",-0.47565424647431,0.0413100356086257,-4.85396512398768,0.000422369312235674,0.00759329627015574,0.20075848616398
"GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP",-0.480590782005357,0.00976747038311474,-4.38803171113,0.000932515763642118,0.0119962645642233,-0.583678115983109
"GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN",-0.485838789731878,0.00833969231534409,-5.78287238872691,9.52168017895557e-05,0.00383112457906787,1.67245052286146
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP",-0.49405458654999,0.0392577053833237,-3.92015259205752,0.00212260042470353,0.0188710023159773,-1.39708418398293
"GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TCONV_CD4_TCELL_DN",-0.514625864658501,-0.0191632967470311,-3.78161069387131,0.0027203350665815,0.0215724289168546,-1.64180654928586
"GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP",-0.529326506046546,0.0317868670655993,-4.83511408430974,0.000435876883276493,0.00772215336481117,0.169584080007858
"GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN",-0.575206125200233,-0.000657027137595542,-5.46527316177775,0.000156310353091029,0.00464356122109447,1.18383034524803
"GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN",-0.629481674707052,0.031990404131918,-4.78629598907894,0.00047300582365907,0.00814305432108477,0.0886232952790627
